,Question,Answer,A,B,C,,Explaniation if needed,Category,Sub Category,File Name pulled from,,
,(Refer to Figure 1 L & L pic quiz) What is the Latitude and Longitude of Key West Airport,C,82 25’ 33” N and 56 25’ 33” W,30’ 27’ 21’N and 82 25’ 33” W,24 33’ 21” N and 81 45’ 33” W,,,Airports & airspace,L& L,L & L Quiz 2 Q- Key,,
,(Refer to Figure 2 L & L pic quiz) Which airport is located at 36° 45’ N and 85° 57’ W,C,Lafayette Muni (3M7),Tompkinsville/Monroe County,Adair Private Airport,,,Airports & airspace,L& L,L & L Quiz 2 Q- Key,,
,,,,,,,,,,,,
,3 airspace classes 3,,,,,,,,,,,
,Class A airspace begins at what altitude?,B,"10,000 feet MSL","18,000 feet MSL","60,000 feet MSL",,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Which operation is required for all aircraft operating in Class A airspace?,C,Visual Flight Rules (VFR),Special VFR,Instrument Flight Rules (IFR),,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,"Before operating a small UAS in Class B airspace, a remote pilot must:",C,File a flight plan,Notify the airport manager,Receive ATC authorization,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Class C airspace normally extends from the surface to:,B,"2,500 feet MSL","4,000 feet MSL","10,000 feet MSL",,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Which airspace generally surrounds airports with an operational control tower but lower traffic volume than Class C?,A,Class D,Class E,Class G,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,A remote pilot operating in Class D airspace must:,B,Contact Flight Service only,Receive ATC authorization,Fly below 200 feet AGL,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,"On a sectional chart, Class D airspace is depicted by:",C,Dashed magenta lines,Solid blue lines,Dashed blue lines,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,A faded magenta vignette around an airport normally indicates Class E airspace beginning at:,B,Surface level,700 feet AGL,"1,200 feet MSL",,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Federal Airways shown on sectional charts are usually found within:,C,Class B airspace,Class C airspace,Class E airspace,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Which Class E airspace requires ATC authorization for drone operations?,C,E3,E4,E2,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Dashed magenta lines that do not intersect another airspace area generally indicate:,A,Class E2 surface area,Class D airspace,Restricted area,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Class G airspace is considered:,C,Controlled airspace,Restricted airspace,Uncontrolled airspace,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Prior authorization is generally required before operating in Class G airspace.,B,TRUE,FALSE,Only at night,,,Airports Classification,Classes,Special Use and Other Airspace - Key,,
,Which of the following is NOT a consideration of airspace classification?,B,Complexity of aircraft movements,Number of passengers that use the closest airport,Level of safety required,,,Airports & Airspace,"Airspace Classifications, ",Airports & Airspace Test - key,,
,You have been hired to inspect a railroad near Cocolalla. (Refer to figure 22 south of area 1) Do you need approval from ATC?,B,"Yes, it is class E airspace from the surface",No it is Class G airspace,No it is Class E from the surface,,,Airports & Airspace,Controlled vs Non controlled Airspace,Airports & Airspace Test - key,,
,"(Refer to FAA-CT-8080-2G, Figure 23) What’s the lower altitude limit of Class E airspace at Statesboro Bulloch County Airport (TBR)?",A,887 ft. MSL,700 ft. MSL,"1,200 ft. MSL",,,Airports & Airspace,Controlled vs Non controlled Airspace,Extra 2 Questions,,
,You want to fly a drone near a regional airport where the sectional chart shows Class E airspace starting at the surface at 300 ft AGL. What is required?,A,Authorization from ATC prior to flight.,Nothing. You can fly freely in Class E airspace at 300 ft AGL.,A waiver only if flying at night.,,,Airports & Airspace,Airspace Classifications,tricky questions,,
,You're planning a flight in a rural area. The sectional chart shows Class G airspace at the surface. What must you do before flying?,B,Request ATC authorization.,Nothing. Authorization is not required.,File a flight plan.,,,Airports & Airspace,Airspace Classifications,tricky questions,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,Which classes use MSL and AGL?,C,"Classes B, C and D",Classes B & C,Class E and G,,,Airports & Airspace,Airspace Classifications,Additional extra extra maps,,
,Which classes use MSL only?,A,"Classes A, B, C & D",Classes B & C,Class E and G,,,Airports & Airspace,Airspace Classifications,Additional extra extra maps,,
,What class has only one layer and looks like a cylinder?,B,Class C,Class D,Class E,,,Airports & Airspace,Class D,Additional extra extra maps,,
,"Refer to FAA-CT-8080-2H, Figure 80, Montrose Regional starts at what altitude?",A,The surface,700 ft AGL,700 ft MSL,,,Airports & Airspace,Class E,Additional extra extra maps,,
,"Refer to FAA-CT-8080-2H, figure 80, Outside dashed magenta lines near Roubideau (Pvt) airport what airspace is from surface up to 700 ft AGL?",B,Class E,Class G,Class D,,,Airports & Airspace,Class E,Additional extra extra maps,,
,"(Refer to FAA-CT-8080-2H, Figure 69, Area 5) Do you need authorization in the area within the dashed magenta lines that are intersecting Class C ?",A,No ATC authorization required (Class E3),Yes ATC authorization required in E3,Yes it is Class C,,,Airports & Airspace,Class C,Additional extra extra maps,,
,"(Refer to FAA-CT-8080-2H, Figure 69, South of Area 1) Do you need authorization inside dashed magenta lines near Corpus Christi?",C,Yes it is Class E,Yes it is Class D,No ATC authorization needed class E,,,Airports & Airspace,Class E,Additional extra extra maps,,
,"(Refer to FAA-CT-8080-2H, Figure 69, South of Area 1) Do you need authorization inside blue dashed lines at Corpus Christi?",B,Yes it is Class E,Yes it is Class D,No ATC authorization needed (Class E4),,,Airports & Airspace,Class D,Additional extra extra maps,,
,"(Refer to FAA-CT-8080-2H, Figure 23 South of Area 4) What is the lower altitude limit of Class E at Statesboro Bulloch County Airport?",A,887 ft MSL,700 ft MSL,1200 ft MSL,,,Airports & Airspace,Class E,Additional extra extra maps,,
,Refer to figure 21 Area 1. At what altitude above the radio tower south of Minot Intl Airport may you fly?,C,700 ft MSL.,"2,579 ft AGL.",798 ft AGL.,,,Airports & Airspace,"Airspace Classifications, Operating Rules",more drone prep questions,,
,"Refer to figure 22. While inspecting the obstacle located 3 miles northwest of Coeur D'Alene-Boyington Airport, what is the highest altitude AGL you can fly?",B,"2,429 feet AGL, the height of the obstacle.",400 feet above the ground.,400 feet above the top of the obstacle if you stay within 400 feet horizontally.,,,Airports & Airspace,"Airspace Classifications, sectional charts",more drone prep questions,,
,"When a control tower located on an airport within Class D airspace ceases operation for the day, what happens to the airspace designation?",A,The airspace reverts to Class E or a combination of Class E and G airspace.,The airspace stays Class D as long as there’s a weather observer or automated weather system.,The airspace normally won’t change.,,,Airports & Airspace,Airport Classificatons,more drone prep questions,Operations,General operations
,Which airspace types require authorization before flying under Part 107?,A,"Class B, C, D, and Class E surface areas.","Class B, C, and D only.",Class E above 700 ft and Class G.,,,Airports & Airspace,Airport Classificatons,more drone prep questions,Weather and Weather Sources,Cloud types and hazards
,"(Refer to Figure 22, Area 1) The floor of the controlled airspace overlying the Sandpoint Airport is:",A,700 feet MSL,700 feet AGL,At the surface,,,Airports & Airspace,Controlled vs Non controlled Airspace,Additional Airspace Maps - Key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,"(Refer to Figure 25, Area 5) What is the elevation range of the Class B airspace?",A,"Surface to 11,000 feet AGL","Surface to 1,100 feet MSL","Surface to 11,000 feet MSL",,,Airports & Airspace,Controlled vs Non controlled Airspace,Additional Airspace Maps - Key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,"(Refer to Figure 26, area 4) You have been hired to inspect the tower under construction at 46.90N and 98.55W, near Jamestown Regional (JMS). What must you receive prior to your flying an UA in this area?",A,Authorization from the National Park Service,Authorization from the military,Authorization from the ATC,,,Airports & Airspace,Controlled vs Non controlled Airspace,Additional Airspace Maps - Key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,(Refer to figure 78) You have been hired to use your sUAS to inspected the railroad tracks from Blencoe (SE of Sioux City) to Onawa. Will ATC authorization be required?,A,"Yes, Onawa is in Class D airspace that is designated for an airport","No, your entire flight is Class G airspace","Yes, you must contact the Onawa control tower to operate within 5 miles of the airport",,,Airports & Airspace,Controlled vs Non controlled Airspace,Additional Airspace Maps - Key,Operations,Airport operations and traffic patterns
,"(Refer to figure 24, Northeast of area 1) What is the ceiling of Class D Airspace surrounding Majors (GVT) airport?",A,"3,000 feet MSL","3,000 feet AGL","1,200 feet AGL",,,Airports & Airspace,Class D,Additional Airspace Maps - Key,Airspace Classification and Operating Requirements,Controlled vs uncontrolled airspace / ATC authorization
,An sUAS can fly in a prohibited area because there is no one inside it.,B,True,False -,,,,Airports & Airspace,"airspace classifications, Prohibited areas",Airports & Airspace Test - key,,
,An sUAS operator will not be able to determine what type of airspace they are operating in by using a sectional chart.,B,True,False,,,,Airports & Airspace,Aeronautical Charts,Airports & Airspace Test - key,,
,"Before flying in a military operations area, an sUAS operator should do what to find out if it is active?",B,Call your local military base,Refer to the sectional chart legend,Call the nearest FAA office,,,Airports & Airspace,"airspace classifications, MOA",Airports & Airspace Test - key,,
,,,,,,,,,,,,
,Special Use end of section Questions,,,,,,,,,,,
,"Which special use airspace contains hazards such as artillery firing, aerial gunnery, or guided missiles?",A,Restricted Area,Alert Area,TRSA,,,Airports Classification,Special Use,Special Use and Other Airspace - Key,,
,Warning Areas differ from Restricted Areas because they are located:,B,Around Class B airports,Over open waters beyond U.S. territorial jurisdiction,Only in military bases,,,Airports Classification,Special Use,Special Use and Other Airspace - Key,,
,Warning Areas begin how far from the U.S. coastline?,B,1 NM,3 NM,12 NM,,,Airports Classification,Special Use,Special Use and Other Airspace - Key,,
,The primary purpose of a Military Operations Area (MOA) is to:,B,Protect national monuments,Separate military training activities from other traffic,Restrict all civilian flight,,,Airports Classification,Special Use,Special Use and Other Airspace - Key,,
,Alert Areas are established because they may contain:,B,Nuclear facilities,High volumes of training activity or unusual aerial activity,Active missile launches,,,Airports Classification,Special Use,Special Use and Other Airspace - Key,,
,Controlled Firing Areas (CFAs) are typically not shown on sectional charts because:,B,They no longer exist,Operations stop when aircraft approach,They are inside Class B airspace only,,,Airports Classification,Special Use,Special Use and Other Airspace - Key,,
,,,,,,,,,,,,
,Other Airspace end of section questions,,,,,,,,,,,
,Military Training Routes (MTRs) allow military aircraft to:,A,"Exceed 250 knots below 10,000 feet",Fly without transponders,Enter prohibited areas freely,,,Airports Classification,Other Airspace,Special Use and Other Airspace - Key,,
,An MTR identified as VR-1007 is:,B,"An IFR route above 1,500 feet AGL","A VFR military training route with no segment above 1,500 feet AGL",A prohibited area,,,Airports Classification,Other Airspace,Special Use and Other Airspace - Key,,
,Temporary Flight Restrictions (TFRs) are issued through:,B,Airport directories only,NOTAMs,Weather briefings only,,,Airports Classification,Other Airspace,Special Use and Other Airspace - Key,,
,Which activity may result in the establishment of a TFR?,A,Super Bowl events,Routine flight training,Agricultural operations,,,Airports Classification,Other Airspace,Special Use and Other Airspace - Key,,
,A Terminal Radar Service Area (TRSA) is established to:,B,Prohibit VFR traffic,Provide additional radar services and separation assistance,Support military gunnery operations,,,Airports Classification,Other Airspace,Special Use and Other Airspace - Key,,
,National Security Areas (NSAs) are established where:,A,Increased security of ground facilities is needed,Commercial airlines train pilots,Agricultural spraying occurs,,,Airports Classification,Other Airspace,Special Use and Other Airspace - Key,,
,Air Defense Identification Zone (ADIZ) boundaries are shown on sectional charts as:,C,Blue-hatched borders,Solid gray lines,Magenta lines with dots,,,Airports Classification,Other Airspace,Special Use and Other Airspace - Key,,
,,,,,,,,,,,,
,Airport Operations end of Section Questions,,,,,,,,,,,
,Why is it important for sUAS operators to understand airport runway layouts?,A,To avoid interfering with arriving and departing aircraft,To determine the best takeoff location,To find the shortest route,,,Airports & Airspace,"Airport Operations, Runways",Section 4 airports & airspace ws key chat,,
,Why should sUAS operators avoid flying near birds?,A,Birds may attack the drone,It is illegal to fly near birds,Birds are attracted to drones,,,Airports & Airspace,"Airport Operations, wildlife",Section 4 airports & airspace ws key chat,,
,Are sUAS operators required to report bird strikes?,C,"Yes, always",Only if the bird is endangered,"No, not under Part 107",,,Airports & Airspace,"Airport Operations, wildlife",Section 4 airports & airspace ws key chat,,
,What is the minimum altitude a pilot should reach before turning crosswind?,B,200 feet AGL,300 feet below pattern altitude,500 feet AGL,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Section 4 airports & airspace ws key chat,,
,What is the standard direction for traffic patterns in the U.S.?,B,Right-hand unless otherwise noted,Left-hand unless otherwise noted,Clockwise,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Section 4 airports & airspace ws key chat,,
,At what angle should a pilot enter the traffic pattern?,C,90°,180°,45°,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Section 4 airports & airspace ws key chat,,
,What does the “L” in Runway 04L indicate?,B,The runway is for light aircraft,The runway is on the left side of a parallel pair,The runway is used for landings only,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Section 4 airports & airspace ws key chat,,
,When should a pilot begin the turn to final approach?,C,"After reaching 1,500 feet AGL",At the midpoint of the downwind leg,At least 1/4 mile from the runway,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Section 4 airports & airspace ws key chat,,
,Why are aircraft most vulnerable during arrival and departure?,B,They are flying at their highest speeds,They are flying at their lowest altitudes and speeds,They are not using navigation systems,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Section 4 airports & airspace ws key chat,,
,What is the typical traffic pattern altitude for propeller-driven aircraft?,C,"1,500–2,000 feet AGL",400–600 feet AGL,"800–1,000 feet AGL",,,Airports & Airspace,"Airport Operations, Traffic Patterns",Section 4 airports & airspace ws key chat,,
,How are runway numbers determined?,C,Based on airport elevation,Based on the number of runways,Based on magnetic heading divided by 10,,,Airports & Airspace,"Airport Operations, Runways",Section 4 airports & airspace ws key chat,,
, What regulation governs access to SIDA areas?,B,CFR 14 Part 107,CFR 49 Part 1542,FAA Order 7110.65,,,Airports & Airspace,Airport Operations,Section 4 airports & airspace ws key chat,,
,What is a SIDA area at an airport?,B,A designated wildlife protection zone,A secure area requiring special ID,A runway maintenance zone,,,Airports & Airspace,Airport Operations,Section 4 airports & airspace ws key chat,,
,What is the primary purpose of a Reliever Airport?,C,To handle military operations,To provide private aviation services,To relieve congestion at Commercial Service Airports,,,Airports & Airspace,Airport Operations,Section 4 airports & airspace ws key chat,,
,Towered airports have,B,No control tower,A control tower with controllers,No radio communication,,,Airports & airspace,towed Airports,Airports & airspace Slides 1-30 - key- chat,Operations,General operations
,What type of airport is NOT open to the general public?,C,Civil Airport,Towered Airport,Private Airport,,,Airports & Airspace,Airport Operations,Section 4 airports & airspace ws key chat,,
,,,,,,,,,,,,
,Runways End of Section Questions,,,,,,,,,,,
,An aircraft announces they are on the short final of a RWY 36. Where is the aircraft in relation to the airport?,A,South,West,North,,,Airports & Airspace,general,airspace Patterns Ws key chat,,
,While monitoring the Barnes CTAF you hear an aircraft announce that they are midfield left downwind to RWY 11. Where would the aircraft be relative to the runway?,C,The aircraft is North,The aircraft is West,The Aircraft is East,,,Airports & Airspace,"Airport Operations, Traffic Patterns",airspace Patterns Ws key chat,,
,While monitoring the Coventon CTAF you hear an aircraft announce that they are midfield left downwind to RWY 27. Where would the aircraft be relative to the runway?,A,The aircraft is South,The aircraft is West,The Aircraft is North,,,Airports & Airspace,"Airport Operations, Traffic Patterns",airspace Patterns Ws key chat,,
,While monitoring the CTAF you hear an aircraft announce that they are midfield left downwind to RWY 14. What is the heading of the aircraft?,A,320 degrees,130 degrees,180 degrees,,,Airports & Airspace,"Airport Operations, Traffic Patterns",airspace Patterns Ws key chat,,
,While monitoring the CTAF you hear an aircraft announce that they are midfield left downwind to RWY 24. What is the heading of the aircraft?,C,40 degrees,50 degrees,60 degrees,,,Airports & Airspace,"Airport Operations, Traffic Patterns",airspace Patterns Ws key chat,,
,While monitoring the Pittsburg CTAF you hear an aircraft announce that they are midfield left downwind to RWY 4. Where would the aircraft be relative to the runway?,B,The aircraft is South,The aircraft is West,The Aircraft is East,,,Airports & Airspace,"Airport Operations, Traffic Patterns",airspace Patterns Ws key chat,,
,"The standard airport traffic pattern is to the what, unless otherwise noted.",A,Left,Right,,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Airports & Airspace Test - key,,
,Runway numbers are based on the,B,Airport design standards,Approach direction,Runway length,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Airports & Airspace Test - key,,
,Why should unmanned operators be familiar with airport traffic patterns?,B,To avoid restricted airspace.,To anticipate potential conflicts.,To determine best takeoff/landing time.,,,Operations,Airport Operations,Additional topics mc1- key part 1 & 2 combined,,
,,,,,,,,,,,,
,End of Unit Test Airports and Airspace Classifications,,,,,,,,,,,
,"(Refer to FAA-CT-800-2H, Figure 21). What is the airport located approximately 47 degrees 40 minutes N latitude and 101 degrees 26 minutes w longitude?",C,Mercer County,Shemshenko,Garrison,,,Airports & Airspace,"Overview, L &L",Airports & Airspace Test - key,,
,"(Refer to FAA-CT-8080-2H, Figure 20 Area 1) The Fentress NALF Airport (NFE) is in what type of airspace?",B,Class C,Class E,Class G,,,Airports & Airspace,Controlled vs Non controlled Airspace,Airports & Airspace Test - key,,
,An sUAS can fly in a prohibited area because there is no one inside it.,B,True,False -,,,,Airports & Airspace,"airspace classifications, Prohibited areas",Airports & Airspace Test - key,,
,An sUAS operator can find out if they are operating near an airport and basic information about that airport by using a sectional chart.,A,True,False,,,,Airports & Airspace,Aeronautical Charts,Airports & Airspace Test - key,,
,An sUAS operator does not need prior authorization to fly in which airspace?,C,Class B,Class E,Class G,,,Airports & Airspace,"Airspace Classifications, ",Airports & Airspace Test - key,,
,An sUAS operator will not be able to determine what type of airspace they are operating in by using a sectional chart.,B,True,False,,,,Airports & Airspace,Aeronautical Charts,Airports & Airspace Test - key,,
,"Before flying in a military operations area, an sUAS operator should do what to find out if it is active?",B,Call your local military base,Refer to the sectional chart legend,Call the nearest FAA office,,,Airports & Airspace,"airspace classifications, MOA",Airports & Airspace Test - key,,
,How often are sectional charts covering the continental U.S. updated?,C,Monthly,Quarterly,Semi-annually,,,Airports & Airspace,Aeronautical Charts,Airports & Airspace Test - key,,
,Lines of latitude,B,Run perpendicular to the equator,Run parallel to the equator,Run diagonal to the equator,,,Airports & Airspace,"Overview, L &L",Airports & Airspace Test - key,,
,Lines of longitude run from the North Pole to the South Pole.,A,True,False,,,,Airports & Airspace,"Overview, L &L",Airports & Airspace Test - key,,
,"Refer to FAA-CT-8080-2H, Figure 75 area 6. During preflight planning you plan to operate in R-2305, where would you find additional info regarding this airspace?",B,In the special Use Airspace of the chart.,,,,,Airports & Airspace,"airspace classifications, Restricted areas",Airports & Airspace Test - key,,
,Runway numbers are based on the,B,Airport design standards,Approach direction,Runway length,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Airports & Airspace Test - key,,
,The Prime Meridian runs through,C,"Washington, DC","Paris, France","Greenwich, England",,,Airports & Airspace,"Overview, L &L",Airports & Airspace Test - key,,
,"The standard airport traffic pattern is to the what, unless otherwise noted.",A,Left,Right,,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Airports & Airspace Test - key,,
,What is the scale on the terminal area chart?,B,"1:100,000","1:250,000","1:500,000",,,Airports & Airspace,Aeronautical Charts,Airports & Airspace Test - key,,
,"When a temporary flight restriction is issued over a disaster area, it is still ok to fly your sUAS if you are trying to help.",B,True,False,,,,Airports & Airspace,"airspace classifications, Other Airspace Areas",Airports & Airspace Test - key,,
,Which airport type is the largest group in the United States?,C,Commercial service airports,Reliever airports,General aviation airports,,,Airports & Airspace,Airport Operations,Airports & Airspace Test - key,,
,Which of the following is NOT a consideration of airspace classification?,B,Complexity of aircraft movements,Number of passengers that use the closest airport,Level of safety required,,,Airports & Airspace,"Airspace Classifications, ",Airports & Airspace Test - key,,
,Which of the following is not a source of airport data?,C,Chart Supplement U.S.,Aeronautical charts,Airport newsletter,,,Airports & Airspace, Airports data sources,Airports & Airspace Test - key,,
,While monitoring CTAF you hear an aircraft announce they where midfield left downwind to RWY 13. Where is the aircraft relative to the runway?,A,East,South,West,,,Airports & Airspace,"Airport Operations, Traffic Patterns",Airports & Airspace Test - key,,
,You have been hired to inspect a railroad near Cocolalla. (Refer to figure 22 south of area 1) Do you need approval from ATC?,B,"Yes, it is class E airspace from the surface",No it is Class G airspace,No it is Class E from the surface,,,Airports & Airspace,Controlled vs Non controlled Airspace,Airports & Airspace Test - key,,
,"A hobbyist sUAS operator does not need to notify a non-towered, general aviation, private airport that they are flying nearby within 5 miles.",A,True,False,,,,Airports & Airspace,,,,
,,,,,,,,,,,,
,5 -WEATHER End of Section Questions,,,,,,,,,,,
,A METAR is a surface weather observation report.,A,True,False,,,,Weather,"Sources, Metar",#REF!,Weather and Weather Sources,METAR interpretation
,"(Refer to FAA-CT-8080-2H, Figure 12.) The wind direction and velocity at KJFK is from",A,180 degrees true at 4 knots.,180 degrees magnetic at 4 knots.,040 degrees true at 18 knots.,,,weather,"Sources, Metar",2nd rnd practice test,Weather and Weather Sources,TAF interpretation
,"(Refer to FAA-CT-8080-2H, Figure 12.) What are the current conditions for Chicago Midway Airport (KMDW)?",A,"Sky 700 feet overcast, visibility 1-1/2SM, rain.","Sky 7,000 feet overcast, visibility 1-1/2SM, heavy rain.","Sky 700 feet overcast, visibility 11, occasionally 2SM, with rain.",,,Weather,"Sources, Metar","2nd Rnd Test Prep, Part 1 Test -Key DE, Remaining Weather questions for James, ",Weather and Weather Sources,TAF interpretation
,"(Refer to FAA-CT-8080-2H, Figure 12.) Which stations are reporting weather that would prohibit UAS operations?",B,KINK and KMDW.,KMDW and KJFK.,KINK and KBOI.,,,weather,"Sources, Metar","2nd Rnd Practice Test, Part 1 Test- Key- DE, new 60 questions test prep",Operations,General operations
,A METAR is usually updated,B,Whenever the observer can get to it,On a regular time interval,Whenever the weather changes,,,Weather,"Sources, Metar",#REF!,Weather and Weather Sources,TAF interpretation
,What type of report provides real-time weather observations?,B,TAF.,METAR.,SIGMET.,,,weather,"Sources, Metar",more drone prep questions,Weather and Weather Sources,General weather concepts
,A METAR does not contain information related to which of the following:,C,Altimeter,Visibility,Turbulence,,,Weather,METAR,#REF!,Weather and Weather Sources,General weather concepts
,"(Refer to FAA-CT-8080-2H, Figure 12.) What are the current conditions for Chicago Midway Airport (KMDW)?",A,"Sky 700 feet overcast, visibility 1-1/2SM, rain.","Sky 7,000 feet overcast, visibility 1-1/2SM, heavy rain.","Sky 700 feet overcast, visibility 11, occasionally 2SM, with rain.",,,Weather,"Sources, Metar",Remaining Weather questions for James,Weather and Weather Sources,TAF interpretation
,A TAF report has winds at 16010KT. What does this mean?,C,Wind is from 160° true 10 kilometers per hour,Wind is from 160° magnetic at 10 knots,Wind is from 160° true at 10 knots,,TAF or MetAR is a land-based report so the tower or station is stationary and the observations are taken from the ground not moving like aircraft so you use a true heading which is the north pole.,Weather,"Sources, TAF",Remaining Weather questions for James,Weather and Weather Sources,TAF interpretation
,TAF Weather End of Section Questions,,,,,,,,,,,
,A TEMPO is:,C,Only valid for 30 minutes,A temporary TAF,A forecast change group,,,Weather,"sources, TAF",Remaining Weather questions for James,Weather and Weather Sources,General weather concepts
,"(Refer to Figure 15,  FAA-CT-8080-2H)  The forecast ceiling at KMEM from 1200Z to 1220Z is:",B,Clear skies,Overcast at 800 feet AGL,"Broken clouds at 3,000 feet AGL",,,Weather,"sources, TAF",TAF Quiz- key,,
,"(Refer to Figure 15,  FAA-CT-8080-2H)  What is the expected wind direction and speed at KMEM from 1222Z onward?",C,020° at 8 knots,350° at 12 knots,330° at 15 knots with gusts to 20 knots,,,Weather,"sources, TAF",TAF Quiz- key,,
,"(Refer to Figure 15,  FAA-CT-8080-2H)  What is the forecast ceiling for KMEM from 1220Z to 1222Z?",A,800 feet AGL,"1,500 feet AGL","3,000 feet AGL",,,Weather,"sources, TAF",TAF Quiz- key,,
,"(Refer to Figure 15,  FAA-CT-8080-2H)  What is the forecast wind direction and speed at KMEM from 1202Z to 1205Z?",A,350° at 12 knots,020° at 8 knots,"330° at 15 knots, gusting to 20 knots",,,Weather,"sources, TAF",TAF Quiz- key,,
,"(Refer to Figure 15,  FAA-CT-8080-2H)  When is fog expected to occur according to the TAF?",B,From 1312Z to 1314Z,From 1212Z to 1214Z,From 1306Z to 1308Z,,,Weather,"sources, TAF",TAF Quiz- key,,
,"(Refer to Figure 15,  FAA-CT-8080-2H) According to the TAF, what type of weather is expected from 1220Z to 1222Z?",A,Thunderstorms with rain and overcast conditions,Snow showers with overcast conditions,Light rain with scattered clouds,,,Weather,"sources, TAF",TAF Quiz- key,,
,"(Refer to Figure 15,  FAA-CT-8080-2H) What is the forecast visibility for KMEM at the beginning of the TAF period (1218Z)?",C,1 mile,3 statute miles,5 statute miles,,,Weather,"sources, TAF",TAF Quiz- key,,
,"(Refer to figure 15,  FAA-CT-8080-2H)  During the period 0600Z to 0606Z, what is the probability of thunderstorms?",C,60%,30%,40%,,"""PROB40"" indicates a 40% probability of thunderstorms and rain.",Weather,"sources, TAF",TAF2 and KEY,,
,"(Refer to figure 15,  FAA-CT-8080-2H)  What does ""BECMG 0522/0524 20013G20KT"" indicate?",A,A gradual change occurring between 0522Z and 0524Z.,A temporary change lasting between 0522Z and 0524Z.,A wind shift to 220° at 20 knots occurring at 0522Z.,,"""BECMG"" signifies a gradual change expected during the specified time period.",Weather,"sources, TAF",TAF2 and KEY,,
,"(Refer to figure 15,  FAA-CT-8080-2H)  What does ""P6SM SCT040"" mean in the forecast starting at 0608Z?",B,"Visibility less than 6 statute miles with scattered clouds at 4,000 feet.","Visibility greater than 6 statute miles with scattered clouds at 4,000 feet.","No significant weather with overcast skies at 4,000 feet.",,"""P6SM"" means visibility is greater than 6 statute miles, and ""SCT040"" indicates scattered clouds at 4,000 feet.",Weather,"sources, TAF",TAF2 and KEY,,
,"(Refer to figure 15,  FAA-CT-8080-2H)  What visibility is expected during the ""TEMPO 0513/0516"" period?",A,1 1/2 statute miles,5 statute miles,Greater than 6 statute miles,,"During this temporary period, visibility is reduced to 1 1/2SM due to mist, ""BR.""",Weather,"sources, TAF",TAF2 and KEY,,
,"(Refer to figure 15,  FAA-CT-8080-2H) What is the forecasted ceiling at 051200Z?",B,"Overcast at 3,000 feet.","Broken at 3,000 feet.","Overcast at 2,000 feet.",,"""BKN030"" indicates a broken layer at 3,000 feet, which is the ceiling.",Weather,"sources, TAF",TAF2 and KEY,,
,"(Refer to figure 15,  FAA-CT-8080-2H) What weather phenomenon is associated with ""OVC008CB""?",B,Cumulonimbus clouds with fog.,Cumulonimbus clouds with thunderstorms.,Stratocumulus clouds with light rain.,,"""CB"" signifies cumulonimbus clouds, typically associated with thunderstorms.",Weather,"sources, TAF",TAF2 and KEY,,
,"(Refer to figure 15, FAA-CT-8080-2H)  At what time does the visibility improve to greater than 6 statute miles?",B,051200Z,051600Z,051524Z,,"At 051600Z, the TAF indicates ""P6SM,"" meaning visibility improves to greater than 6 statute miles.",Weather,"sources, TAF",TAF2 and KEY,,
,"(Refer to figure 15, FAA-CT-8080-2H) What is the wind forecast for 0608Z?",C,140° at 8 knots,"200° at 13 knots, gusting to 20 knots",210° at 15 knots,,"At 0608Z, the TAF indicates ""21015KT,"" meaning wind from 210° at 15 knots.",Weather,"sources, TAF",TAF2 and KEY,,
,"(Refer to FAA-CT-8080-2H, Figure 15.) What is the valid period for the TAF for KMEM?",C,1200Z to 1200Z.,1200Z to 1800Z.,1800Z to 2400Z.,,,weather,"Sources, TAF","2nd rnd practice test, new 60 questions test prep",,
,A TAF is for how many hours or what period of time?,C,12,24,24 or 30,,,Weather,"sources, TAF","2nd Rnd Practice Test, Part 1 Test- Key- DE, new 60 questions test prep",Operations,General operations
